asx_ticker,company,n_etfs,etfs,etf_shares,adv_dollars_63d,etf_pct_float,days_to_exit_20pct_adv,inflow5_buy_days,forced_flow_score
GMG.AX,Goodman Group,25,"A200.AX,ACWX,AUMF.AX,EPP,EWA,FAIR.AX,FLAU,GEAR.AX,HVST.AX,ILC.AX,IOZ.AX,IVE.AX",173564724.0,130833349.46539682,0.08488144210407915,197.77986683508888,1.2087022128314437,0.958074025041808
TCL.AX,Transurban Group,29,"A200.AX,ACWX,EPP,EWA,EXI,FLAU,GEAR.AX,GLIN.AX,GRNV.AX,HVST.AX,IFRA.AX,IGF",231030981.0,89973151.28777777,0.07404411957002481,184.84272123350573,1.2813383890613064,0.95690613055181
SCG.AX,Scentre Group,24,"A200.AX,ACWX,EPP,EWA,EX20.AX,FAIR.AX,FLAU,GEAR.AX,GRNV.AX,HVST.AX,IOZ.AX,IVE.AX",480555706.0,48315662.38603175,0.09200800570931786,181.36509269723638,1.1525057508554493,0.9505783962646112
VCX.AX,Vicinity Centres,26,"A200.AX,ACWX,AUMF.AX,EPP,EWA,EX20.AX,FAIR.AX,FLAU,GEAR.AX,GRNV.AX,HVST.AX,IOZ.AX",388958555.0,28753598.252380952,0.08382120014908429,169.1109337169133,1.0926558400746322,0.9446010135961939
GPT.AX,The GPT Group,21,"A200.AX,EX20.AX,FAIR.AX,FLAU,GEAR.AX,GRNV.AX,HVST.AX,IOZ.AX,IXUS,MVA.AX,MVOL.AX,MVW.AX",183635856.0,24834382.031746026,0.0958644913699211,175.58037285929967,1.2036347756153114,0.9366856947360034
CHC.AX,Charter Hall Group,22,"A200.AX,EX20.AX,FAIR.AX,FLAU,GEAR.AX,GRNV.AX,HVST.AX,IOZ.AX,IXUS,MVA.AX,MVE.AX,MVOL.AX",45254070.0,28386873.361587297,0.09567517341547621,163.0083156466945,1.1457903599223356,0.9336069498274455
EVN.AX,Evolution Mining Limited,27,"A200.AX,ACWX,AUMF.AX,EPP,EWA,EX20.AX,FLAU,GDX,GDX.AX,GDXJ,GEAR.AX,GOAU",200436037.0,107232135.2022222,0.09868397609165523,118.43114656379664,0.7850728447930767,0.9169660460107409
PRU.AX,Perseus Mining Limited,20,"A200.AX,AUMF.AX,EX20.AX,GDX,GDX.AX,GDXJ,GEAR.AX,GOAU,GOEX,IOZ.AX,IXUS,MVE.AX",124465468.0,21693084.00428572,0.09244473340264792,151.85197743276697,1.1208338960948652,0.9137644044595422
MGR.AX,Mirvac Group,22,"A200.AX,EX20.AX,FAIR.AX,FLAU,GEAR.AX,GRNV.AX,HVST.AX,IOZ.AX,IXUS,MVA.AX,MVE.AX,MVOL.AX",396017875.0,25964161.35984127,0.10036287508892103,132.0685974209266,0.8920573742078237,0.9125896304898318
RGN.AX,Region Group,20,"A200.AX,AUMF.AX,EX20.AX,FAIR.AX,FLAU,GEAR.AX,IOZ.AX,ISO.AX,IXUS,MVA.AX,MVOL.AX,QOZ.AX",108811898.0,8131854.968412697,0.09472263353603581,153.3810787287026,1.024502283795778,0.9110470727040144
DYL.AX,Deep Yellow Limited,15,"A200.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,IXUS,NLR,QRE.AX,URA,URNJ,URNM,URNM.AX",253102637.0,10627618.055714285,0.25945015900908797,205.8793611469093,1.431908994180323,0.9105257586957878
HDN.AX,HomeCo Daily Needs REIT,15,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,MVA.AX,MVOL.AX,QOZ.AX,REET,VAP.AX,VAS.AX",168728444.0,4021182.5333333327,0.08075839348305812,259.46363493549563,1.7938670626230542,0.8984402065734203
BHP.AX,BHP Group Limited,33,"A200.AX,ACWX,AUMF.AX,BATT,COPX,EPP,EWA,FLAU,GEAR.AX,GNR,IHD.AX,IHOO.AX",261566613.0,538625624.3819048,0.05148251346883513,140.4111387024537,0.9350563204763179,0.8932753343705944
RMS.AX,Ramelius Resources Limited,24,"A200.AX,AUMF.AX,EX20.AX,FLAU,GDX,GDX.AX,GDXJ,GEAR.AX,GOAU,GOEX,GRNV.AX,IOZ.AX",210400458.0,33827718.40174603,0.11094354330777012,108.2523889546321,0.7016299084061663,0.8929464924523116
PDN.AX,Paladin Energy Ltd,17,"A200.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,IXUS,MVR.AX,NLR,QOZ.AX,QRE.AX,URA,URNJ",89984204.0,35266690.94730158,0.24609531127285994,145.13880188561794,0.9283200937933589,0.8901654192155593
SGP.AX,Stockland,25,"A200.AX,ACWX,EPP,EWA,EX20.AX,FAIR.AX,FLAU,GEAR.AX,GRNV.AX,HVST.AX,IOZ.AX,IVE.AX",233344457.0,46476900.795555554,0.09596159853244315,102.98381181600047,0.6520778539464408,0.8841856109555108
CLW.AX,Charter Hall Long WALE REIT,15,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,IXUS,MVA.AX,QOZ.AX,REET,VAP.AX,VAS.AX",57942755.0,5925516.97984127,0.08095987155916434,171.52911326988942,1.1600452705442603,0.8767526851159955
GMD.AX,Genesis Minerals Limited,22,"A200.AX,EX20.AX,FLAU,GDX,GDX.AX,GDXJ,GEAR.AX,GOAU,GOEX,IOZ.AX,IXUS,MVE.AX",107218124.0,30593515.24984127,0.09385929950358109,104.51938244685739,0.7180750466037624,0.8753523241545043
CBA.AX,Commonwealth Bank of Australia,25,"A200.AX,ACWX,AUMF.AX,EPP,EWA,FLAU,GEAR.AX,HVST.AX,ILC.AX,IOZ.AX,IVE.AX,IXG",74205539.0,372685758.1992063,0.04437801941548934,167.4956024489923,0.963215959181482,0.8737216923001517
SLX.AX,Silex Systems Limited,10,"A200.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,NLR,URA,VAS.AX,VPL,VSO.AX",39728999.0,5217653.846349206,0.16847767335851682,217.00534913425778,1.5469840775177173,0.8727318696923105
WBC.AX,Westpac Banking Corporation,26,"A200.AX,ACWX,AUMF.AX,EPP,EWA,FLAU,GEAR.AX,GRNV.AX,IHD.AX,ILC.AX,IOZ.AX,IVE.AX",160271116.0,206642385.55793646,0.04693278608006306,146.43980186668205,0.8368309773869451,0.8710413089964525
SFR.AX,Sandfire Resources Limited,19,"A200.AX,BATT,COPX,EX20.AX,FLAU,GEAR.AX,GRNV.AX,IOZ.AX,IXUS,MVE.AX,MVR.AX,PICK",39465505.0,32575993.627460316,0.08451744401446833,109.40652460684305,0.8699772386474175,0.8696087392449406
ANZ.AX,ANZ Group Holdings Limited,25,"A200.AX,ACWX,AUMF.AX,EPP,EWA,FLAU,GEAR.AX,IHD.AX,ILC.AX,IOZ.AX,IVE.AX,IXG",142060409.0,177781374.69396827,0.04717999931461786,143.69053109070114,0.8545614121482025,0.8682541578404406
CIP.AX,Centuria Industrial REIT,14,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,MVA.AX,QOZ.AX,REET,VAP.AX,VAS.AX,VNQI",46177228.0,3948019.313333333,0.07395598249806211,173.05084672969565,1.172016488528366,0.8621829577485914
WGX.AX,Westgold Resources Limited,20,"A200.AX,AUMF.AX,EX20.AX,GDX,GDX.AX,GDXJ,GEAR.AX,GOAU,GOEX,IOZ.AX,IXUS,MVE.AX",89716851.0,23925615.009523813,0.09495539144151956,104.12615721068902,0.6833942688595427,0.8588753986961692
WPR.AX,Waypoint REIT,14,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,IXUS,QOZ.AX,REET,VAP.AX,VAS.AX,VNQI",48974941.0,3374806.3614285714,0.07501357981010322,175.6624803938192,1.0594110831296555,0.8581106124429282
BWP.AX,BWP Trust,15,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,IXUS,MVOL.AX,QOZ.AX,REET,VAP.AX,VAS.AX",46380512.0,4884765.224920635,0.05907389759873243,180.70128422443392,1.1036328769440915,0.8572182107955109
DXS.AX,Dexus,18,"A200.AX,EX20.AX,FLAU,GEAR.AX,HVST.AX,IOZ.AX,IXUS,MVOL.AX,QOZ.AX,REET,VAP.AX,VAS.AX",84734097.0,19069959.436825406,0.07899952179531254,131.13810852648552,0.7468294275157189,0.8552670244609486
ALX.AX,Atlas Arteria Limited,23,"A200.AX,EX20.AX,FLAU,GEAR.AX,GLIN.AX,GRNV.AX,IFRA.AX,IGF,IHD.AX,IOZ.AX,IXUS,MVE.AX",103671565.0,27584180.757301588,0.07144691141794282,91.69948103887539,0.7043973898284269,0.8547351019743814
MPL.AX,Medibank Private Limited,27,"A200.AX,ACWX,AUMF.AX,EPP,EWA,EX20.AX,FAIR.AX,FLAU,GEAR.AX,GRNV.AX,IHD.AX,IOZ.AX",144768630.0,32962599.483174596,0.05256661571683554,102.06620877789094,0.6917223008695215,0.8474348587851221
ORG.AX,Origin Energy Limited,23,"A200.AX,ACWX,EPP,EWA,EX20.AX,FLAU,GEAR.AX,IOZ.AX,IVE.AX,IXUS,JXI,MVOL.AX",93418446.0,48469468.00095237,0.05426859896861702,112.69968481417365,0.6740146638084669,0.84537053393517
BMN.AX,Bannerman Energy Ltd,6,"ISO.AX,URA,URNJ,URNM,URNM.AX,VAS.AX",44511153.0,3763980.4498412693,0.21427200912714459,222.68406636890566,1.451943958894055,0.8450564616394914
QUB.AX,Qube Holdings Limited,16,"A200.AX,EX20.AX,FLAU,GEAR.AX,IGF,IOZ.AX,IXUS,MVE.AX,MVOL.AX,MVW.AX,QOZ.AX,VAS.AX",148221478.0,33377863.255079366,0.08372145975149416,110.53951525776137,0.7859576629572588,0.840216904488956
QBE.AX,QBE Insurance Group Limited,25,"A200.AX,ACWX,AUMF.AX,EPP,EWA,FLAU,GEAR.AX,GRNV.AX,HVST.AX,IHD.AX,ILC.AX,IOZ.AX",72493220.0,75804466.36412697,0.048522110281423225,108.44826013915217,0.6868957729536442,0.8390848432362433
ARF.AX,Arena REIT,13,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,QOZ.AX,REET,VAP.AX,VAS.AX,VNQI,VPL",29883596.0,3103411.517301587,0.07348997503903992,158.40574602295817,0.9343354846860397,0.8365370310613458
APA.AX,APA Group,24,"A200.AX,ACWX,EPP,EWA,EX20.AX,FLAU,GEAR.AX,GLIN.AX,HVST.AX,IFRA.AX,IOZ.AX,IVE.AX",70944116.0,35236174.12650793,0.05359328876298395,101.95133425933568,0.660819954332814,0.8349329204028445
DOW.AX,Downer EDI Ltd,19,"A200.AX,AUMF.AX,EX20.AX,FLAU,GEAR.AX,GRNV.AX,IHD.AX,IOZ.AX,IXUS,MVE.AX,MVOL.AX,QOZ.AX",32113097.0,9824140.031111112,0.04872007582970991,126.95524947949997,0.9212795341265543,0.8339455861174525
TLC.AX,The Lottery Corporation Limited,20,"A200.AX,ACWX,EPP,EWA,EX20.AX,FLAU,GEAR.AX,HVST.AX,IOZ.AX,IVE.AX,IXUS,MVOL.AX",117394265.0,27404409.884920638,0.052743172349518246,115.83859350849481,0.7495602184674794,0.8333638902118122
EMR.AX,Emerald Resources NL,20,"A200.AX,AUMF.AX,EX20.AX,GDX.AX,GDXJ,GEAR.AX,GOAU,GOEX,IOZ.AX,ISO.AX,IXUS,MVOL.AX",40178554.0,11765255.077936508,0.060805119268232836,99.34292167100106,0.7236089723408115,0.8332689296934739
BEN.AX,Bendigo and Adelaide Bank Limited,20,"A200.AX,EX20.AX,FAIR.AX,FLAU,GEAR.AX,GRNV.AX,IOZ.AX,IXUS,MVB.AX,MVE.AX,MVOL.AX,MVW.AX",31010942.0,15962420.126190476,0.05499692288913854,102.56970220740315,0.7490668379001534,0.8306136875076288
NST.AX,Northern Star Resources Limited,26,"A200.AX,ACWX,AUMF.AX,EPP,EWA,EX20.AX,FLAU,GDX,GDX.AX,GEAR.AX,GNR,GRNV.AX",115546117.0,157286095.86063495,0.08095660505143333,76.61951064539605,0.4927200805486334,0.8280844575950544
IAG.AX,Insurance Australia Group Limited,24,"A200.AX,ACWX,EPP,EWA,EX20.AX,FAIR.AX,FLAU,GEAR.AX,HVST.AX,IHD.AX,IOZ.AX,IVE.AX",119885453.0,45581785.63825397,0.051277959087712856,99.47465497143095,0.6613674823912647,0.8275168691533832
NAB.AX,National Australia Bank Limited,25,"A200.AX,ACWX,AUMF.AX,EPP,EWA,FLAU,GEAR.AX,IHD.AX,ILC.AX,IOZ.AX,IVE.AX,IXG",143265567.0,253047876.21444446,0.0467983957979117,111.36126658359818,0.6412430469500643,0.8269372015441929
DNL.AX,Dyno Nobel Limited,21,"A200.AX,AUMF.AX,EX20.AX,FLAU,GEAR.AX,GRNV.AX,HVST.AX,IOZ.AX,IXUS,MOO,MVE.AX,MVOL.AX",100945357.0,19986058.90142857,0.057548890016418865,88.04935570426612,0.7141342317553996,0.8264347067813799
GGP.AX,Greatland Resources Limited,17,"A200.AX,EX20.AX,GDX,GDX.AX,GDXJ,GEAR.AX,GOEX,IOZ.AX,IXUS,MVE.AX,MVOL.AX,MVR.AX",51801251.0,33973144.25619047,0.07698134973739182,99.5445036304865,0.7434208976773055,0.8259228023958601
DBI.AX,Dalrymple Bay Infrastructure Limited,11,"A200.AX,EX20.AX,GEAR.AX,IGF,IHD.AX,IOZ.AX,ISO.AX,QOZ.AX,VAS.AX,VHY.AX,ZYAU.AX",39075402.0,7538562.176507937,0.07881892569835092,138.68583065069404,1.0382431796789342,0.8251888587948244
WES.AX,Wesfarmers Limited,21,"A200.AX,ACWX,AUMF.AX,EPP,EWA,FLAU,GEAR.AX,HVST.AX,ILC.AX,IOZ.AX,IVE.AX,IXUS",46697898.0,126830951.21174602,0.0411333750264252,141.77401993773344,0.8733723179459247,0.8246724587006781
TLS.AX,Telstra Group Limited,26,"A200.AX,ACWX,AUMF.AX,EPP,EWA,FAIR.AX,FLAU,GEAR.AX,HVST.AX,IHD.AX,ILC.AX,IOZ.AX",487947874.0,121168811.03380954,0.04380482141317967,106.36744353360946,0.6988623397007802,0.824351778758832
COL.AX,Coles Group Limited,23,"A200.AX,ACWX,AUMF.AX,EPP,EWA,FLAU,GEAR.AX,ILC.AX,IOZ.AX,IVE.AX,IXI.AX,IXUS",69320630.0,75427777.84857142,0.051610874517920693,102.35789245571979,0.6424875196752323,0.8237341450645428
SOL.AX,Washington H. Soul Pattinson and Company Limited,20,"A200.AX,ACWX,EPP,EWA,EX20.AX,FLAU,GEAR.AX,HVST.AX,IOZ.AX,IVE.AX,IXG,IXUS",15485874.0,27160688.060317464,0.04743144651468224,121.11449586524142,0.75630477754418,0.8232706828107355
KCN.AX,Kingsgate Consolidated Limited,17,"A200.AX,AUMF.AX,EX20.AX,GDX.AX,GDXJ,GOAU,IOZ.AX,ISO.AX,IXUS,MVS.AX,QRE.AX,SGDJ",27527674.0,8905873.094285715,0.10300797434789452,86.77128256539638,0.6120906929165216,0.8197302809019119
CMM.AX,Capricorn Metals Ltd,18,"A200.AX,EX20.AX,GDX,GDX.AX,GDXJ,GEAR.AX,GOAU,GOEX,IOZ.AX,IXUS,MVE.AX,MVOL.AX",39612936.0,29176593.389047623,0.08672065442986868,84.99801603232254,0.6370458650257406,0.818645135331006
CQR.AX,Charter Hall Retail REIT,14,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,IXUS,QOZ.AX,REET,VAP.AX,VAS.AX,VNQI",38762003.0,5739145.9339682525,0.06668965654456319,128.4968018637272,0.787019715235308,0.8168228747677079
CNI.AX,Centuria Capital Group,13,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,IXUS,QOZ.AX,VAP.AX,VAS.AX,VNQI,VPL",59406368.0,4249441.875079365,0.06977541399743362,127.8348060859732,0.8420220287779189,0.8148787282249481
AZJ.AX,Aurizon Holdings Limited,25,"A200.AX,AUMF.AX,EX20.AX,FLAU,GEAR.AX,GLIN.AX,HVST.AX,IFRA.AX,IHD.AX,IOZ.AX,IXUS,MVE.AX",99753241.0,27863025.784444444,0.05926017251724281,74.08078854804342,0.5531768457872367,0.8125378998692355
SUN.AX,Suncorp Group Limited,25,"A200.AX,ACWX,AUMF.AX,EPP,EWA,EX20.AX,FAIR.AX,FLAU,GEAR.AX,GRNV.AX,HVST.AX,IHD.AX",56541030.0,58776867.88,0.05333800764641087,81.92616665980437,0.5628775912965124,0.8119334396467357
BRE.AX,Brazilian Rare Earths,5,"PICK,VEU,VNQI,VSO.AX,VWO",238674080.4,2979195.540952381,0.8519397272603016,2112.827774644325,0.8073680600496385,0.8107558079397588
SHL.AX,Sonic Healthcare Limited,25,"A200.AX,ACWX,AUMF.AX,EPP,EWA,EX20.AX,FAIR.AX,FLAU,GEAR.AX,GRNV.AX,IHD.AX,IOZ.AX",28068599.0,34776439.901428565,0.05679167055215468,79.24541230361793,0.5284861187342283,0.8105309458374311
WOW.AX,Woolworths Group Limited,23,"A200.AX,ACWX,AUMF.AX,EPP,EWA,FAIR.AX,FLAU,GEAR.AX,HVST.AX,ILC.AX,IOZ.AX,IVE.AX",53790597.0,92341599.31063493,0.0440329343305872,104.79783146535205,0.6380441690363706,0.8042069753993151
CQE.AX,Charter Hall Social Infrastructure REIT,9,"AUMF.AX,ISO.AX,QOZ.AX,REET,VAP.AX,VAS.AX,VNQI,VPL,VSO.AX",21151787.0,1551256.5538095238,0.056996194774401036,176.99339272523181,0.9668118008450238,0.8015904102478403
RSG.AX,Resolute Mining Limited,19,"A200.AX,AUMF.AX,EX20.AX,GDX.AX,GDXJ,GEAR.AX,GOAU,GOEX,IOZ.AX,ISO.AX,IXUS,MVS.AX",137820766.0,10397501.137857137,0.06448003663639869,85.0511034427608,0.5501740759273668,0.7992393428286045
RFF.AX,Rural Funds Group,6,"ISO.AX,QOZ.AX,VAP.AX,VAS.AX,VNQI,VPL",23215424.0,1086124.4242857143,0.059569037644621264,215.11686163461738,1.138642663550066,0.7991795742991895
BOQ.AX,Bank of Queensland Limited,22,"A200.AX,AUMF.AX,EX20.AX,FAIR.AX,FLAU,GEAR.AX,IHD.AX,IOZ.AX,IXUS,MVB.AX,MVE.AX,MVOL.AX",37855461.0,16356256.238095239,0.05757590519217913,75.92631942438047,0.5479836027716951,0.7976033997649907
INA.AX,Ingenia Communities Group,12,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,QOZ.AX,VAP.AX,VAS.AX,VNQI,VPL,VSO.AX",28709835.0,4579028.166190477,0.07043919004831661,123.75885690396152,0.735310449990872,0.7975872430942988
SDF.AX,Steadfast Group Limited,21,"A200.AX,AUMF.AX,EX20.AX,FAIR.AX,FLAU,GEAR.AX,GRNV.AX,IOZ.AX,IXUS,MVE.AX,MVOL.AX,MVW.AX",57789768.0,16075990.20968254,0.05196960709455088,80.3683545275752,0.6269003645790301,0.793980123475439
MQG.AX,Macquarie Group Limited,24,"A200.AX,ACWX,AUMF.AX,EPP,EWA,FLAU,GEAR.AX,GRNV.AX,ILC.AX,IOZ.AX,IVE.AX,IXG",16712968.0,204190875.22984126,0.0438501272562391,94.94173526274477,0.6094299360641049,0.793084550436665
NHF.AX,Nib Holdings Limited,18,"A200.AX,AUMF.AX,EX20.AX,FAIR.AX,GEAR.AX,GRNV.AX,IHD.AX,IOZ.AX,ISO.AX,IXUS,MVOL.AX,QFN.AX",20271898.0,6188280.073174604,0.04153693727926215,108.71109876055874,0.8093827169173933,0.7831499892744241
WDS.AX,Woodside Energy Group Ltd,27,"A200.AX,ACWX,AUMF.AX,EPP,EWA,FLAU,GEAR.AX,GNR,HVST.AX,ILC.AX,IOZ.AX,IVE.AX",102769627.0,221824782.67,0.05420863479594369,74.94960458881597,0.4400946490366092,0.7830461488602869
ILU.AX,Iluka Resources Limited,18,"A200.AX,EX20.AX,FLAU,GEAR.AX,GRNV.AX,IOZ.AX,ISO.AX,IXUS,MVR.AX,PICK,QOZ.AX,QRE.AX",37464769.0,19712918.896349207,0.08690001024223233,72.43796675466608,0.5083217442470831,0.7800235968245158
AGE.AX,Alligator Energy Limited,4,"URA,URNJ,URNM,URNM.AX",449795990.0,716961.0918412699,0.10137311896147876,127.76571139952365,1.1961692929842287,0.7769217112141904
EL8.AX,Elevate Uranium Ltd,3,"URA,URNJ,URNM.AX",46484434.0,415048.7034126984,0.1254417134869362,153.91915158915415,1.104697691811054,0.7739912689295819
BSL.AX,BlueScope Steel Limited,21,"A200.AX,AUMF.AX,EX20.AX,FLAU,GEAR.AX,GRNV.AX,IOZ.AX,IXUS,MVOL.AX,MVW.AX,MXI,PICK",19229774.0,34775928.0436508,0.04389583356405512,83.07207530936344,0.616176514729316,0.7731125495705894
S32.AX,South32 Limited,23,"A200.AX,ACWX,BATT,EPP,EWA,EX20.AX,FLAU,GEAR.AX,IOZ.AX,IVE.AX,IXUS,MVOL.AX",231399056.0,67637511.97714287,0.051636257381426076,75.05397333114513,0.48627714900752456,0.772917484606833
PEN.AX,Peninsula Energy Limited,4,"URA,URNJ,URNM,URNM.AX",79910215.0,1566297.4956658732,0.49990583912137926,125.25623577114483,0.9618844281108617,0.771461481409736
AEU.AX,Atomic Eagle Limited,3,"URA,URNJ,URNM.AX",30550179.0,412113.1946825397,0.07798595474697372,167.20388176221127,1.4773625759794635,0.7693473343500744
LYC.AX,Lynas Rare Earths Limited,22,"A200.AX,ACWX,EPP,EWA,EX20.AX,FLAU,GEAR.AX,IOZ.AX,IVE.AX,IXUS,MVOL.AX,MVR.AX",58633325.0,76952707.02301589,0.0582545204381248,73.22666758252052,0.4462640600765989,0.7684633037818207
CPU.AX,Computershare Limited,22,"A200.AX,ACWX,EPP,EWA,EX20.AX,EXI,FAIR.AX,FLAU,GEAR.AX,GRNV.AX,HVST.AX,IOZ.AX",24654807.0,48830067.07666667,0.04262682946946007,81.94155551202228,0.5617096375413275,0.7653131712023278
EDV.AX,Endeavour Group Limited,19,"A200.AX,AUMF.AX,EX20.AX,FLAU,GEAR.AX,IHD.AX,IOZ.AX,IXUS,MVE.AX,MVOL.AX,MVW.AX,QOZ.AX",84811251.0,16569906.875238094,0.04723107449394731,81.98862043527217,0.579241711445013,0.7635177524590621
PPT.AX,Perpetual Limited,18,"A200.AX,AUMF.AX,EX20.AX,FLAU,GEAR.AX,GRNV.AX,IOZ.AX,ISO.AX,IXUS,QFN.AX,QOZ.AX,VAS.AX",4850389.0,3984038.7300000004,0.041939799327747045,98.33195873780659,0.6536903984156447,0.7546800954110651
JBH.AX,JB Hi-Fi Limited,22,"A200.AX,AUMF.AX,EX20.AX,FAIR.AX,FLAU,GEAR.AX,GRNV.AX,HVST.AX,IOZ.AX,IXUS,MVE.AX,MVOL.AX",6065960.0,36413175.00412698,0.05548101280331211,61.82580144681464,0.46399195787240227,0.7535800686961007
OBM.AX,Ora Banda Mining Limited,17,"A200.AX,AUMF.AX,EX20.AX,GDX.AX,GDXJ,GEAR.AX,GOEX,IOZ.AX,ISO.AX,IXUS,MVS.AX,QRE.AX",104910669.0,9099257.035396826,0.05443005696675383,74.9591967974008,0.5309985349478327,0.7515285409330298
MND.AX,Monadelphous Group Limited,15,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IHD.AX,IOZ.AX,ISO.AX,IXUS,MVR.AX,QOZ.AX,VAS.AX,VHY.AX",4464930.0,6691079.565555555,0.04460782898814475,97.77264516977588,0.7285554255968988,0.7503730183543682
CMW.AX,Cromwell Property Group,9,"ISO.AX,IXUS,QOZ.AX,REET,VAP.AX,VAS.AX,VNQI,VPL,VSO.AX",110266349.0,1430960.2688095241,0.04210455234509541,159.85211172593034,0.9512654226198578,0.7483047763133338
CYL.AX,Catalyst Metals Limited,15,"A200.AX,EX20.AX,GDX.AX,GDXJ,GEAR.AX,GOEX,IOZ.AX,ISO.AX,MVS.AX,QRE.AX,RING,SGDJ",18547638.0,7549841.903968253,0.0710787254019046,71.78154599759839,0.5217198485114396,0.7467188645621565
